Site,Long,Lat,Alt,Pinus,Picea,Abies,Tsuga,Larix,Alnus,Betula,Juglans,Carpinus,Ostryopsis,Corylus,Castanea,Quercus,Fraxinus,Araliaceae,Rhus,Acer,Salix,Ulmus,Pteroceltis,Celtis,Populus,Moraceae,Tilia,Ailanthus,Cotinus,Ephedra,Rutaceae,Nitraria,Tamarix,Euptelea,Rhamnaceae,Berberidaceae,Hippophae,Oleaceae,Syringa,Stellera,Artemisia,Chenopodiaceae,Poaceae,Asteraceae,Caryophyllaceae,Thalictrum,Ranunculaceae,Convolvulaceae,Cruciferae,Gentianaceae,Humulus,Labiatae,Leguminosae,Plantaginaceae,Polygala,Polygonum,Rosaceae,Sanguisorba,Verbenaceae,Primulaceae,Liliaceae,Caprifoliaceae,Crassulaceae,Geraniaceae,Scrophulariaceae,Apiaceae,Urtica,Valerianaceae,Solanaceae,Rubiaceae,Pyrolaceae,Campanulaceae,Cyperaceae
GHB-1+2,112.233,38.9,1860,4.621513944,0.398406375,0,0,0.15936255,0,4.302788845,0.239043825,0.079681275,2.390438247,0.478087649,0,4.143426295,0,0,0,0,0.478087649,0.956175299,0.717131474,0,0.239043825,0,0,0,0,0,0,0,0,0,0,0,4.143426295,0,0,0.15936255,59.28286853,7.96812749,3.90438247,0.3187251,0.15936255,0.079681275,0,0,0.239043825,0.15936255,1.274900398,0.557768924,0,0,0,0.15936255,0.398406375,0,0,0,0,0,0,0,0,0,0.717131474,0,0,0,0,0,1.274900398
GHB-3,112.233,38.9,1860,6.553398058,0.242718447,0,0,0,1.213592233,3.883495146,0,0,3.883495146,0.72815534,0,3.398058252,0,0,0,0,0,1.941747573,0,0,0,0,0,0,0,0.485436893,0,0,0,0,0,0,6.067961165,0,0,0,53.6407767,8.737864078,2.912621359,0.970873786,0,0.485436893,0,0,0.72815534,0,1.699029126,0.72815534,0,0,0,0,0.242718447,0,0,0,0,0.242718447,0,0,0,0,0,0,0,0,0,0,1.213592233
GHB-4,112.233,38.9,1860,4.008908686,0.445434298,0,0,0,0.445434298,4.008908686,0.222717149,0,3.118040089,0,0,2.672605791,0,0,0.222717149,0,0.668151448,0.890868597,0,0,0,0,0,0,0,0.445434298,0,0.222717149,0,0,0,0,4.677060134,0,0,0,58.79732739,10.02227171,3.786191537,0.890868597,0,0,0.222717149,0,0.445434298,0,2.227171492,0.222717149,0,0,0,0,0,0,0,0,0,0,0,0,0.222717149,0,0,0,0,0,0,0,1.113585746
GHB-5,112.233,38.9,1860,6.695464363,0.215982721,0,0,0,0.647948164,5.615550756,0,0,3.455723542,1.079913607,0,3.239740821,0,0,0,0,0.215982721,0.647948164,0,0,0,0,0,0,0,0,0,0.215982721,0,0,0,0,7.127429806,0,0,0.215982721,51.40388769,8.639308855,4.103671706,0.647948164,0.431965443,0.863930886,0,0,1.51187905,0,1.943844492,0,0.647948164,0,0,0.431965443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHB-6,112.233,38.9,1860,3.174603175,0,0,0,0,0.396825397,3.571428571,0,0.595238095,1.19047619,0.198412698,0,1.785714286,0,0,0,0,0.396825397,0.793650794,0,0,0,0,0,0,0,0.396825397,0,0.198412698,0,0,0,0,5.555555556,0,0,0.396825397,63.49206349,7.936507937,3.968253968,0.992063492,0.793650794,0,0,0,0.396825397,0,1.19047619,0.198412698,0.198412698,0,0,0.198412698,0.595238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388888889
GHB-7,112.233,38.9,1860,4.127579737,0.562851782,0,0,0,0.187617261,6.003752345,0.187617261,0.187617261,1.688555347,0.375234522,0,3.001876173,0,0,0,0,0.375234522,0.375234522,0,0,0,0,0,0,0,0,0,0.187617261,0,0,0,0,5.816135084,0,0,0,58.34896811,7.317073171,1.876172608,1.125703565,0.187617261,0.187617261,0,0,1.125703565,0,3.001876173,0.750469043,0.375234522,0,0,0.187617261,0.562851782,0,0,0,0,0,0,0,0,0,0,0,0.187617261,0,0,0,1.688555347
GHB-8,112.233,38.9,1860,2.429149798,0.20242915,0,0,0,0,3.643724696,0,0,1.619433198,0.20242915,0,1.012145749,0,0,0,0,0.4048583,1.619433198,0,0,0,0,0,0,0,0.4048583,0,0,0,0,0,0,3.846153846,0.20242915,0,0,67.61133603,7.692307692,3.036437247,0.4048583,0.4048583,0.4048583,0,0.20242915,0,0,3.036437247,0.20242915,0.4048583,0,0,0,0,0,0,0,0,0,0,0.20242915,0,0,0,0,0,0,0,0,0.809716599
GHB-9,112.233,38.9,1860,1.458333333,0.416666667,0,0,0,0,4.583333333,0.416666667,0.416666667,1.666666667,0,0,1.25,0,0,0.208333333,0,0.833333333,1.458333333,0,0,0,0,0,0,0,0,0,0.208333333,0,0,0,0,4.583333333,0,0,0,66.45833333,7.291666667,2.708333333,0.416666667,0,0.625,0,0,0.416666667,0,2.083333333,1.041666667,0.208333333,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.041666667
GHB-10,112.233,38.9,1860,4,0.2,0,0,0.2,0,3.2,0,0.4,1,0.4,0,1.6,0,0,0,0,0.4,1.2,0,0,0,0,0,0,0,0.4,0,0.6,0,0,0,0,4.2,0,0,0,63.4,7.2,2.2,0.4,0.2,0.4,0.2,0,0,0.2,3.6,0.8,0.2,0,0,0.6,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,2.4
GHB-11,112.233,38.9,1860,0.572246066,0.286123033,0,0,0,0,3.004291845,0.286123033,0,2.145922747,0.286123033,0.143061516,1.144492132,0,0,0,0,0.143061516,2.145922747,0.715307582,0,0,0,0,0,0.143061516,0,0,0.143061516,0,0,0,0,4.291845494,0,0,0,67.95422031,7.439198856,3.147353362,1.144492132,0,0.572246066,0,0.429184549,0.429184549,0,0.572246066,0.143061516,0,0,0,0.429184549,0.429184549,0,0,0,0,0,0,0,0,0,1.001430615,0,0,0,0,0,0.858369099
GHB-12,112.233,38.9,1860,1.927194861,0.214132762,0,0,0.214132762,0.428265525,1.713062099,0,0.214132762,1.713062099,0.214132762,0,1.927194861,0,0,0,0,0.428265525,1.284796574,0,0,0,0,0,0,0,0.214132762,0,0,0,0,0,0,1.927194861,0,0,0,66.16702355,13.27623126,3.640256959,0.856531049,0,0.214132762,0,0,0.214132762,0,1.927194861,0.214132762,0,0,0,0,0,0.214132762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856531049
GHB-13,112.233,38.9,1860,1.451905626,0.362976407,0,0,0,0,3.266787659,0,0,1.451905626,0.54446461,0,1.996370236,0,0,0,0,0,0.907441016,0,0,0,0,0,0,0,0.362976407,0,0.362976407,0,0,0,0,2.177858439,0,0,0.181488203,63.70235935,8.89292196,4.537205082,0.725952813,0.362976407,0.181488203,0,0.54446461,0.54446461,0,4.537205082,0.725952813,0.181488203,0,0,0.181488203,0.181488203,0,0,0,0.181488203,0.181488203,0,0,0,0,0,0,0,0,0,0,1.270417423
GHB-14,112.233,38.9,1860,1.004016064,0,0,0,0,0.200803213,4.819277108,0,0,1.204819277,0.401606426,0,1.807228916,0.200803213,0,0,0,0.803212851,1.004016064,0,0,0,0,0,0,0,0.803212851,0,0.200803213,0,0,0,0,3.815261044,0.200803213,0,0,63.45381526,7.228915663,2.008032129,1.004016064,0.200803213,0,0,0,0.401606426,0,5.823293173,0.602409639,0.401606426,0,0,0.200803213,0.200803213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.008032129
GHB-15,112.233,38.9,1860,0.595238095,0,0,0,0,0,2.579365079,0,0.396825397,1.19047619,0,0.198412698,1.785714286,0,0,0,0,0,0.198412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.968253968,0,0,0,67.26190476,8.73015873,3.373015873,2.182539683,0.198412698,0.198412698,0.198412698,0,0.396825397,0.198412698,4.365079365,0.595238095,0,0,0,0.198412698,0.396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793650794
GHB-16,112.233,38.9,1860,1.57480315,0,0,0,0,0,3.149606299,0,0,0.787401575,0.196850394,0,3.346456693,0,0,0.196850394,0,0.590551181,0.787401575,0,0,0,0,0,0,0,0.196850394,0,0.196850394,0,0,0,0,2.362204724,0.196850394,0,0,62.99212598,11.61417323,2.755905512,1.377952756,0,0.196850394,0,0,0,0,4.724409449,0.984251969,0,0,0,0.393700787,0.393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984251969
GHB-17,112.233,38.9,1860,2.186878728,0,0,0,0,0,2.584493042,0,0,0.596421471,0.198807157,0,1.988071571,0,0,0.397614314,0,0.795228628,0.198807157,0,0,0.198807157,0,0,0,0,0,0,0,0,0,0,0,1.789264414,0,0,0.397614314,61.03379722,11.53081511,3.976143141,2.385685885,0.397614314,0.795228628,0,0,0.198807157,0,3.976143141,1.988071571,0.397614314,0,0,0.198807157,0.397614314,0,0,0,0,0,0,0,0,0,0,0,0.198807157,0,0,0,1.192842942
GHB-18,112.233,38.9,1860,1.048218029,0,0,0,0,0,3.354297694,0.209643606,0,1.048218029,0.209643606,0,1.048218029,0,0,0.209643606,0,0.209643606,1.048218029,0,0,0.209643606,0,0,0,0,0,0,0,0,0,0,0,2.096436059,0,0,0.209643606,64.98951782,8.805031447,4.612159329,0.838574423,0.628930818,0.419287212,0.209643606,0.209643606,0.628930818,0,3.773584906,0.838574423,0.209643606,0,0,0.209643606,0.838574423,0,0,0,0.419287212,0,0,0,0,0,0,0,0,0,0,0,1.467505241
GHB-19,112.233,38.9,1860,1.709401709,0,0,0,0,0,1.495726496,0,0.641025641,0.854700855,0,0,1.495726496,0,0,0,0,0.641025641,0.641025641,0,0,0,0,0,0,0,0.427350427,0,0,0,0,0,0,1.068376068,0,0,0.213675214,70.51282051,8.974358974,2.136752137,1.068376068,0,0.427350427,0,0,0.427350427,0,5.128205128,1.068376068,0.213675214,0,0,0,0,0,0.213675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641025641
GHB-20,112.233,38.9,1860,0.924214418,0,0,0,0.184842884,0,2.58780037,0,0.554528651,0.924214418,0,0,0.184842884,0,0,0,0,0,0.554528651,0,0,0,0,0,0,0,0,0,0.369685767,0,0,0,0,2.033271719,0.369685767,0,0,70.42513863,10.35120148,1.663585952,0.184842884,0.184842884,0.739371534,0,0,0.369685767,0,5.360443623,0.369685767,0,0,0,0.184842884,0.369685767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.109057301
